Local Date,Local Time,Close,Low,High,Volume
06-Jun-2022,16:37:00,146.2301,146.1800,146.4000,"139,459"
06-Jun-2022,16:38:00,146.1600,146.1200,146.2600,"141,207"
06-Jun-2022,16:39:00,146.3800,146.1650,146.4000,"108,241"
06-Jun-2022,16:40:00,146.2800,146.2526,146.4600,"131,338"
06-Jun-2022,16:41:00,146.4100,146.2550,146.4600,"111,935"
06-Jun-2022,16:42:00,146.4279,146.3400,146.4600,"75,226"
06-Jun-2022,16:43:00,146.4500,146.3800,146.4700,"66,200"
06-Jun-2022,16:44:00,146.4800,146.3600,146.4800,"69,159"
06-Jun-2022,16:45:00,146.6119,146.4441,146.6500,"154,538"
06-Jun-2022,16:46:00,146.7500,146.4922,146.7699,"158,170"
06-Jun-2022,16:47:00,146.6700,146.6679,146.8100,"136,526"
06-Jun-2022,16:48:00,146.6850,146.6300,146.7764,"104,027"
06-Jun-2022,16:49:00,146.6075,146.5400,146.6953,"123,875"
06-Jun-2022,16:50:00,146.4900,146.4900,146.6800,"122,945"
06-Jun-2022,16:51:00,146.5187,146.4100,146.6419,"87,123"
06-Jun-2022,16:52:00,146.5600,146.4900,146.6400,"59,385"
06-Jun-2022,16:53:00,146.5400,146.5300,146.6700,"83,323"
06-Jun-2022,16:54:00,146.6600,146.4700,146.6600,"65,146"
06-Jun-2022,16:55:00,146.5889,146.5500,146.6700,"61,622"
06-Jun-2022,16:56:00,146.6400,146.5501,146.6600,"56,875"
06-Jun-2022,16:57:00,146.5550,146.4600,146.6200,"91,917"
06-Jun-2022,16:58:00,146.6200,146.5456,146.6600,"66,349"
06-Jun-2022,16:59:00,146.6498,146.5700,146.6600,"60,857"
06-Jun-2022,17:00:00,146.5300,146.5200,146.6900,"75,977"
06-Jun-2022,17:01:00,146.4500,146.4400,146.5853,"94,101"
06-Jun-2022,17:02:00,146.1400,146.1100,146.5686,"243,005"
06-Jun-2022,17:03:00,145.8299,145.7000,146.1400,"415,875"
06-Jun-2022,17:04:00,145.7700,145.7500,146.1726,"161,676"
06-Jun-2022,17:05:00,145.6900,145.5700,146.0030,"240,658"
06-Jun-2022,17:06:00,145.7450,145.6500,145.9649,"139,259"
06-Jun-2022,17:07:00,145.6700,145.6100,145.9040,"107,826"
06-Jun-2022,17:08:00,145.7939,145.6650,145.7939,"120,734"
